,    华山街道办事处,    护国街道办事处,    大观街道办事处,    龙翔街道办事处,    丰宁街道办事处,    莲华街道办事处,    红云街道办事处,    黑林铺街道办事处,    普吉街道办事处,    沙朗街道办事处,    厂口街道办事处,昆明国家高新技术产业开发区,    拓东街道办事处,    鼓楼街道办事处,    东华街道办事处,    联盟街道办事处,    金辰街道办事处,    青云街道办事处,    龙泉街道办事处,    茨坝街道办事处,    双龙街道办事处,    松华街道办事处,    滇源镇,    阿子营镇,    关上街道办事处,    太和街道办事处,    吴井街道办事处,    金马街道办事处,    小板桥街道办事处,    官渡街道办事处,    矣六街道办事处,    六甲街道办事处,    大板桥街道办事处,    阿拉街道办事处,    昆明经济技术开发区,    西苑街道办事处,    马街街道办事处,    金碧街道办事处,    永昌街道办事处,    前卫街道办事处,    福海街道办事处,    棕树营街道办事处,    碧鸡街道办事处,    海口街道办事处,    团结街道办事处,昆明滇池国家旅游度假区,    龙城街道办事处,    洛龙街道办事处,    斗南街道办事处,    乌龙街道办事处,    吴家营街道办事处,    雨花街道办事处,    七甸街道办事处,    洛羊街道办事处,    大渔街道办事处,    马金铺街道办事处
人民医院,5.968248700979561 km,7.094831355185569 km,5.264510234593731 km,5.381522025717177 km,4.695043251679311 km,6.842488232855637 km,11.043768716084266 km,3.8490655311015916 km,6.910013012912889 km,6.52029280739186 km,7.725725925227379 km,4.848814045107748 km,8.034640683627416 km,7.725725925227379 km,9.05527489185026 km,8.46977233107857 km,9.54791655951425 km,10.912251621928295 km,13.266554823382398 km,15.807046630302905 km,22.628101324874894 km,26.517046422575444 km,37.34867125261408 km,36.833581064985815 km,10.155143119230173 km,8.195818212565378 km,8.903880235013606 km,10.4940185437753 km,14.560020113848696 km,14.44376673917012 km,16.36964943211279 km,10.465490151171208 km,37.434354852016206 km,15.582299870392523 km,18.72730565967823 km,2.5908949606169496 km,0.9951882151620061 km,4.921859516059333 km,6.736221998950347 km,7.441385706474052 km,4.501695339101206 km,4.401478285230652 km,5.7355198655756165 km,27.65897271337858 km,11.914922759958081 km,5.900721935648295 km,22.834689168362935 km,27.313089115972257 km,19.967463320560114 km,22.076863478723805 km,28.87356063312969 km,28.94398114549015 km,31.743952803726422 km,23.740072492709974 km,27.215978470538467 km,31.576750575365875 km
永昌社区卫生服务中心,2.7634836460118906 km,2.566711118084666 km,2.502616239998204 km,2.8553053629498675 km,4.193203418601097 km,5.618083084800559 km,9.441841541485177 km,6.9822504973727275 km,8.244657086037884 km,2.818849644305534 km,3.544968454170921 km,7.551983361231521 km,2.881712326115047 km,3.544968454170921 km,4.514894011302325 km,4.32506068213454 km,6.6485375769196775 km,6.757081265368627 km,10.93101148843023 km,14.472932659973063 km,18.269939363805552 km,23.809961248231033 km,35.252197192228444 km,36.42619223820717 km,4.302611486086805 km,2.5927661064600254 km,3.472787560070799 km,5.158692557064917 km,8.869300360236464 km,9.19744708382885 km,11.664047338694179 km,7.415120459006025 km,33.114881368571965 km,9.726293886567888 km,12.883021830011021 km,4.269263059225351 km,5.823814792383486 km,1.5475232026316608 km,0.9565565038595486 km,2.1191159328843243 km,2.043180502960448 km,2.5729385321020852 km,8.58452797557817 km,27.605094388822952 km,17.733160332998025 km,5.598354693528875 km,17.944755559557148 km,22.297010334918006 km,15.030715084209568 km,17.310995131575183 km,24.12124841959238 km,24.349310114568077 km,25.890648109002225 km,18.515673683834734 km,23.168354270698643 km,27.80704845191376 km
兴苑路22号,3.267623047487343 km,4.468186832850597 km,2.5826485187361437 km,2.669669193506379 km,2.143314175043365 km,4.386134542228229 km,8.706200659884368 km,3.3190639096469132 km,5.482676487141085 km,3.829420764992791 km,5.030077529994572 km,4.084067920426115 km,5.474096679887219 km,5.030077529994572 km,6.362422826973999 km,5.75892197280293 km,6.905733926053543 km,8.194029158956711 km,10.802364395541083 km,13.648847491278374 km,19.92053461937251 km,24.076953289526763 km,35.09723109412304 km,35.13214250356778 km,7.934675210605095 km,5.781573517567272 km,6.387025555727735 km,7.904432175069424 km,12.688012309778408 km,12.96922086090135 km,15.272500883114766 km,10.128667069880404 km,34.740854872101835 km,13.338194146964813 km,16.5710714901416 km,0.4567925778675878 km,2.2369542108234883 km,2.502633943536831 km,4.534645412102461 km,5.805825525894459 km,3.4054701624799866 km,1.7465246660884586 km,7.696434333812808 km,28.923630753512168 km,14.110103832202096 km,6.442082202288087 km,21.64594311688489 km,26.04333631861341 km,18.7374208736559 km,20.969880556964007 km,27.792703038494402 km,27.9682398084945 km,29.515589459298695 km,22.306119320098542 km,26.572196073386195 km,31.10639402357548 km
西山区春雨路168号滇缅时代大厦B座一层,5.940171598912465 km,7.185671009323669 km,5.2844660841938715 km,5.325068787356938 km,4.338734438452937 km,6.32204591628286 km,10.375222288643153 km,2.8176658526740646 km,5.958328588378423 km,6.510599026845565 km,7.6955015471113635 km,3.812890040267697 km,8.198271161946016 km,7.6955015471113635 km,9.024757462249307 km,8.383889596090551 km,9.160158148380937 km,10.725814440388298 km,12.66667267585264 km,15.012376252556502 km,22.332120938144858 km,25.858800223099934 km,36.562344838224064 km,35.84463791836762 km,10.574553376697251 km,8.48282766667377 km,9.109488101380084 km,10.624811260989766 km,15.169903485706163 km,15.20723683302424 km,17.252705506668757 km,11.491266697638132 km,37.07724315555918 km,15.999555657539426 km,19.201175591380057 km,2.423351406194066 km,0.5121972505774123 km,5.182107176458513 km,7.144639425777268 km,8.104102176998431 km,5.264943377347825 km,4.4678758815357495 km,6.773441230049218 km,28.76081687429965 km,11.425085201246619 km,7.008440445768529 km,23.703649029371153 km,28.16301659263695 km,20.820478403028215 km,22.967477049407773 km,29.77790026423093 km,29.875155087743273 km,32.181355972118936 km,24.53459600281401 km,28.218558755590962 km,32.61320814974337 km
马街中路99号,6.358927551236552 km,7.4628367654291115 km,5.650539618978432 km,5.777889302963069 km,5.117727187910179 km,7.267013679089899 km,11.464470756862081 km,4.188858302578543 km,7.283785401392046 km,6.906733707512999 km,8.112597693260541 km,5.188384857103283 km,8.385815047358314 km,8.112597693260541 km,9.440035447523384 km,8.863459017697549 km,9.96906724501931 km,11.316188244964044 km,13.690416113957383 km,16.216852769954926 km,23.040014754846215 km,26.939452398403223 km,37.76092634788866 km,37.199653222717636 km,10.435809218981554 km,8.518012464545734 km,9.243876057395543 km,10.847491727107041 km,14.767677582355098 km,14.584209410370228 km,16.443265158673206 km,10.441511852599916 km,37.85051745703416 km,15.856250791270648 km,18.980639442390654 km,3.0104674656987704 km,1.372642856085873 km,5.2644042085178 km,7.030432301528857 km,7.6430138065247855 km,4.677477894488114 km,4.784531421814484 km,5.386998385832573 km,27.364447291885877 km,11.700774170610767 km,5.785670242413254 km,22.91265761303174 km,27.40028141786864 km,20.056111516046887 km,22.142233253995236 km,28.927972340814033 km,28.981020845863092 km,32.00422016973757 km,23.858360473108814 km,27.200875064017144 km,31.530923649088265 km
福海社区卫生服务中心,5.332009008063989 km,5.478636580028712 km,4.801383038840891 km,5.159493051846148 km,5.959870254422561 km,7.914182170938804 km,12.05418796813171 km,7.714845521535122 km,9.860416373653807 km,5.564981854940955 km,6.449507578581512 km,8.542427812928487 km,5.802185896812078 km,6.449507578581512 km,7.457716092200346 km,7.247288237696578 km,9.452969002319167 km,9.699750832801204 km,13.726005028532944 km,17.117904960180578 km,21.159594156402324 km,26.720085298441298 km,38.1152421226533 km,38.97545978849969 km,6.4195796194457175 km,5.360827734835673 km,6.281927962681297 km,7.937566207075275 km,9.950667091474234 km,9.50505373280959 km,11.324463717172264 km,5.678686433101555 km,35.98089977981004 km,11.52944861927132 km,14.421608449123543 km,4.886405291842915 km,5.516908100055129 km,3.6838878263977564 km,3.769431841997583 km,3.0644235879264894 km,1.2106809611886802 km,4.348181858560456 km,5.852145588110961 km,24.96785231707382 km,16.695640672245208 km,2.6612426005438823 km,17.790557317014013 km,22.27338134344057 km,14.928467903881122 km,17.032051005132733 km,23.83217499859059 km,23.916721433093848 km,27.416853393065146 km,18.73849171956133 km,22.294099547608994 km,26.750817669164135 km
前卫西路768号,4.778527917239781 km,4.447389997424738 km,4.473265056958601 km,4.835312383968171 km,6.051028411148191 km,7.622223195716668 km,11.436930095869428 km,8.489902173205646 km,10.111647922557292 km,4.8156317194265075 km,5.410797429307616 km,9.181794683314168 km,4.447803105702256 km,5.410797429307616 km,6.181689344292236 km,6.135246983093173 km,8.578404166410595 km,8.412887750302845 km,12.8461064914799 km,16.450918907637906 km,19.574881297439894 km,25.55550883404649 km,37.06924931691627 km,38.41735712570758 km,4.5368532735393154 km,3.807446513016541 km,4.723020307025852 km,6.300513900890226 km,8.143714488407653 km,7.950598585257882 km,10.099975408645776 km,5.4055605625691765 km,34.33963237629315 km,9.617676407561133 km,12.54296270372619 km,5.635240855636745 km,6.769042729729619 km,3.412596629830322 km,2.445914146027451 km,1.1506921802607175 km,2.0071011583761114 km,4.368552622170515 km,7.710416719227788 km,25.666601122171116 km,18.36136397970501 km,4.191325988241573 km,16.503006864825217 km,20.933726141901232 km,13.603294745537829 km,15.806180424271131 km,22.629381111883898 km,22.79139857898474 km,25.556020018021172 km,17.27639832487901 km,21.426986887623876 km,26.008141380560296 km
西华北路217号,2.2207515951050794 km,3.013498721492964 km,1.544352313666934 km,1.8604699104599638 km,2.6000657407933887 km,4.526032233799948 km,8.740840250785283 km,5.052026578398394 km,6.619134307272355 km,2.6517559921383103 km,3.8046108307140876 km,5.676426246533188 km,3.86937919336086 km,3.8046108307140876 km,5.079162690602793 km,4.613439845128839 km,6.3733491355990495 km,7.154435938099066 km,10.563669104526035 km,13.799246426082323 km,18.913470147181716 km,23.737791794686736 km,34.98905751991489 km,35.59720223233178 km,6.084772111363523 km,4.017069250400453 km,4.719540098407037 km,6.331484800616184 km,10.806012442685107 km,11.136609476615597 km,13.531094101252455 km,8.785623845067535 km,33.77919743113641 km,11.506343809421118 km,14.718289452169897 km,2.3184627147418126 km,3.984359174405624 km,0.7435722777849668 km,2.663745914396499 km,3.997011106997121 km,2.1892126172039954 km,0.9490468170897015 km,8.045136259953601 km,28.343776354922337 km,15.918741539140616 km,5.860651707483747 km,19.85781153974962 km,24.229257807193385 km,16.945135528548718 km,19.205378145808506 km,26.02317405741505 km,26.228371087705916 km,27.688234776196467 km,20.463130675430158 km,24.947268032724004 km,29.538711207282503 km
棕树营道丹霞路287号,2.684732310909567 km,3.7693261363880177 km,1.9650311860001537 km,2.1418637622521746 km,2.154684279769088 km,4.340074289247656 km,8.661938642508533 km,4.069578286948095 km,5.933839030897149 km,3.217249859776817 km,4.4217365013998045 km,4.761010252691057 km,4.730715941531423 km,4.4217365013998045 km,5.744572381141869 km,5.189589519116284 km,6.599459346367425 km,7.684650984066028 km,10.646630698898898 km,13.674635894618293 km,19.44883985674361 km,23.899242677728303 km,35.0273314249745 km,35.31819549049075 km,7.108395188889507 km,4.983282879160675 km,5.624711713405034 km,7.181683533123605 km,11.85140031156695 km,12.154659139473933 km,14.49742953144731 km,9.515479552602422 km,34.29581582129099 km,12.519748514914395 km,15.744794427342011 km,1.2760079778883255 km,2.9972198210111736 km,1.6854312534213132 km,3.7004346435734035 km,4.997407282835128 km,2.781138258448353 km,1.096991395836454 km,7.8067218084399 km,28.660916577875078 km,14.914614805940653 km,6.1281051840212655 km,20.85178067699194 km,25.23802789332726 km,17.9411157064922 km,20.185977144200894 km,27.007246502332784 km,27.19589128998391 km,28.700004176674376 km,21.487754889643686 km,25.85013336192926 km,30.410147077042524 km
碧鸡社区卫生服务中心,10.286183331007393 km,11.069503976111763 km,9.568983953605484 km,9.803130044394656 km,9.552790457106122 km,11.78203188946131 km,16.063920974981375 km,8.81485748742224 km,11.957532258176911 km,10.755179913107028 km,11.909395912553881 km,9.802741646937983 km,11.749676429663666 km,11.909395912553881 km,13.158281078396774 km,12.720758968701896 km,14.276089391272782 km,15.261926359389923 km,18.21371187734051 km,20.887597551499987 km,27.0173528837849 km,31.488316561261716 km,42.41835035200806 km,41.83800964420234 km,12.89428120972414 km,11.55689173235733 km,12.43272531189441 km,14.118769843027792 km,16.17202735100697 km,15.242417297305732 km,16.265717401516387 km,9.61650765181469 km,41.88465408989011 km,17.986457606971467 km,20.77270625747307 km,7.464305907365573 km,6.063761386291179 km,8.797591443919924 km,9.914343431919319 km,9.551246016939173 km,6.948714920703318 km,8.73789305711678 km,1.485032962102649 km,23.209420047281423 km,11.961590139316804 km,4.949223324652735 km,22.576038425721855 km,27.08105061355484 km,19.914448534159327 km,21.683000770361588 km,28.218738521116762 km,28.07889205583742 km,33.67658810298856 km,23.95670435824286 km,25.75717316858898 km,29.70331676931452 km
海口社区卫生服务中心,30.289194918637396 km,30.145132934791857 km,29.79344276021327 km,30.15313743630736 km,30.82938386403959 km,32.894948429356276 km,37.032029023500336 km,31.497312380740976 km,34.35553410600071 km,30.443319740542144 km,31.108181724432576 km,32.48877068779657 km,30.044791384839957 km,31.108181724432576 km,31.772954103362693 km,31.81514720656267 km,34.272845986070166 km,33.92296185018481 km,38.54430961776409 km,42.08882354892625 km,43.68718738738162 km,50.963930282854136 km,62.60825313510118 km,63.966080237516515 km,28.61550923223928 km,29.243490126380163 km,30.05634477101433 km,31.2731089224764 km,27.232417893090556 km,24.70973556829078 km,22.289941733676066 km,20.775728660991888 km,57.38269960449653 km,30.303853092114355 km,30.752214104355026 km,29.232488555248285 km,28.642561994210915 km,28.670954033822543 km,28.13372506556293 km,26.254329267477864 km,26.19912675896658 km,29.31125126793508 km,22.094691341372243 km,0.0800690427484522 km,32.74104691403548 km,22.55678805739642 km,23.507983694606267 km,25.73924705277099 km,23.329550982404356 km,22.649695209104006 km,24.52283118438886 km,23.50232491738778 km,39.06587033531129 km,25.964872573811817 km,19.63830593017037 km,19.555561710501536 km
团结街道龙潭街3号,17.009759618393126 km,18.343399353736565 km,16.43522552326753 km,16.393138490900448 km,15.052658322815402 km,16.28801964452155 km,18.98428638199423 km,11.870867994752501 km,13.79259157899592 km,17.57693062661816 km,18.683922534470724 km,12.113716755934146 km,19.404428446718605 km,18.683922534470724 km,19.96134669016109 km,19.249035890075426 km,19.194973040067435 km,21.25160748698273 km,21.37209664705165 km,22.018681913770727 km,32.018567086980696 km,33.175677098970745 km,42.204341422115995 km,38.59248850492095 km,21.88267923649907 km,19.767048843901016 km,20.33875579157348 km,21.758995471156634 km,26.3739498848213 km,26.126628364296334 km,27.731265863415295 km,21.280959704726207 km,46.13850148634944 km,27.307507550355414 km,30.50446599987471 km,13.61650426246547 km,11.819095134798909 km,16.478671217162034 km,18.4518144446059 km,19.25060953346702 km,16.285388583123062 km,15.687749387285939 km,13.44212886114421 km,32.87240105750658 km,0.235045457868948 km,16.370943202592677 km,34.17421583090179 km,38.69027669893044 km,31.39006272368014 km,33.33669617046178 km,40.00623805761287 km,39.93088679100787 km,43.489397955755784 km,35.30571721547569 km,37.70959897984813 km,41.65159618330967 km
电池路1401号,5.6954884100799 km,6.039455774071607 km,5.089282538989158 km,5.427411012980107 km,5.993700151501259 km,8.079757330150684 km,12.320174790921342 km,7.342710985307158 km,9.724399929811332 km,6.004791371879447 km,6.98793503944523 km,8.227317976405097 km,6.485456932301241 km,6.98793503944523 km,8.0805217961783 km,7.801722174370223 km,9.867849415990921 km,10.303287234062452 km,14.107096879940498 km,17.377806490595987 km,21.87448697097283 km,27.206593301568407 km,38.5292034314734 km,39.13973794183059 km,7.324459378392254 km,6.130671847754547 km,7.040890212511943 km,8.715647958846741 km,10.885951853801503 km,10.379668841855839 km,12.087972785428555 km,6.163831980924243 km,36.717819787500325 km,12.470053482236137 km,15.366078554386531 km,4.61712578684789 km,4.926544349722532 km,4.02419450139238 km,4.501961593144027 km,3.9970080712872544 km,1.597426063643783 km,4.499944934800438 km,5.012979244115895 km,24.814707926025022 km,15.82505732927641 km,2.288494053993098 km,18.55871356498073 km,23.054779430757673 km,15.715732187674103 km,17.778900064038545 km,24.560017006046138 km,24.61409969371872 km,28.359078655304888 km,19.56741855955455 km,22.889026136858558 km,27.286016474572783 km
昆明市延安医院预防保健科,2.989671621936665 km,1.804680842531016 km,3.643234125960017 km,3.6095893061440165 km,4.939519610216092 km,4.523420371561878 km,6.637941236521885 km,8.236053371189865 km,7.8708341444049665 km,2.4171202092288264 km,1.29922430631658 km,8.32759181237978 km,1.2253228279528292 km,1.29922430631658 km,0.5695924359835804 km,1.0701268850399985 km,3.5143292459289843 km,2.7434361022828244 km,7.4821980904518774 km,11.319932330656906 km,14.226609930501992 km,19.890706514775868 km,31.436134284488134 km,33.24064616606929 km,3.606553770828383 km,1.9879468684553891 km,1.3277467368857754 km,1.8357297126598866 km,8.514186691632784 km,9.905965310720202 km,12.908458695453424 km,10.531092635028017 km,29.087822928691022 km,7.9935916216706175 km,11.299748243057204 km,6.500200114772161 km,8.45349397610483 km,4.084339000229795 km,3.2737014646540135 km,4.972433806226535 km,6.080257289399238 km,4.489485471573408 km,12.5954326265693 km,31.188828103980786 km,20.115432886136556 km,9.651181221406729 km,18.559282596783007 km,22.58342684157841 km,15.722773593062799 km,18.118843372558537 km,24.721020391506123 km,25.13660046344909 km,23.857297944787604 km,18.591879316383867 km,24.564442795497797 km,29.353312520069945 km
昆明市第一人民医院甘美医院,6.383427792572182 km,6.329536147965328 km,7.016390658667378 km,6.706064529064726 km,6.81635251715652 km,4.664740286543542 km,1.9087243704490922 km,8.907293236727432 km,6.574948242215343 km,6.109697413974676 km,5.367203486332115 km,8.37208678875244 km,6.526940559770421 km,5.367203486332115 km,4.895130744323607 km,4.693107414958398 km,2.2220699269036728 km,3.309340278371731 km,2.0701270424921465 km,5.859561740032256 km,11.686794993919253 km,15.193928818403887 km,26.45194429982541 km,27.786186048403998 km,8.882246413937182 km,7.417506113049547 km,6.774381864270073 km,6.267544949066027 km,13.274065690969405 km,15.057741128587912 km,18.151918382288766 km,15.922436648103238 km,26.19121009771512 km,11.800636374564407 km,14.825173849189209 km,8.93223589836187 km,10.68001477174379 km,8.054614720945176 km,8.34480143661658 km,10.290113057787796 km,10.532737922623834 km,7.737333591333104 km,16.514203078395305 km,36.44257223151738 km,20.543707906532465 km,14.304586255505411 km,23.406599446011015 km,27.151761109400898 km,20.67526007529776 km,23.07653818829791 km,29.456726438530456 km,29.978238954175705 km,26.078155455517074 km,23.107993552597904 km,29.71471352060833 km,34.536288514732476 km
昆明市第二人民医院,11.892741079464988 km,12.062845596084646 km,12.433519412022653 km,12.085782365270942 km,11.730285126042332 km,9.50262730991801 km,5.190244225431374 km,12.673061184202481 km,9.574814519957258 km,11.72298642970264 km,11.125456767802875 km,11.825217060845448 km,12.336093905651477 km,11.125456767802875 km,10.70867649021098 km,10.493179910170337 km,7.937039726870169 km,8.92312200432273 km,3.8275333440957438 km,0.526660916204069 km,11.285734331181954 km,10.83456414828809 km,21.29239204795492 km,21.97356215116854 km,14.626213862145427 km,13.232499895097984 km,12.581943439791415 km,11.929388068029901 km,18.704837199102364 km,20.67281578706993 km,23.800266449198404 km,21.718530265220362 km,23.9016063211113 km,16.794866782597573 km,19.471823542234773 km,13.71301532658961 km,15.117295392267131 km,13.539161263983761 km,14.096016734815963 km,16.07762676152449 km,16.03544755227258 km,13.021636928978184 km,21.538014346256464 km,42.13685050879507 km,22.68767188705934 km,19.783308396076553 km,28.735000688080067 km,32.22816477915743 km,26.10591959578766 km,28.489596752875176 km,34.64700193387064 km,35.25129585156596 km,29.22170084121739 km,28.19363021846681 km,35.24223361220386 km,40.07766425547098 km
青云社区卫生服务中心（盘龙区人民医院）,5.653059252846132 km,5.052758774468389 km,6.372266046036381 km,6.159333946629653 km,6.859559034893466 km,5.198389766943061 km,4.396857761174569 km,9.661320424067872 km,8.033500234518542 km,5.1958441411639855 km,4.107643046077141 km,9.371131019559813 km,4.837062491792559 km,4.107643046077141 km,3.1019544459952155 km,3.290030272271823 km,2.3083527921256137 km,0.9130995911651792 km,4.245960264057349 km,8.19207383075539 km,11.168637036935966 km,16.27212989005438 km,27.81435029861579 km,29.875530168689707 km,6.613655133706692 km,5.586947802390873 km,4.780462202926132 km,3.881876457344132 km,10.739750505682428 km,12.623710387736251 km,15.746267610559535 km,14.093751946833029 km,25.99768138509641 km,9.20552676694818 km,12.252745819690114 km,8.881978868354283 km,10.805013140957012 km,7.197500352823957 km,6.859828088654281 km,8.589546695306918 km,9.494194968755316 km,7.217626342236225 km,15.873161905772843 km,34.79179931837363 km,21.651457308682865 km,13.177669382260808 km,20.854783846864702 km,24.56375840090564 km,18.150911038083574 km,20.5482499566964 km,26.88231119013428 km,27.418146231449445 km,23.77714127347184 km,20.519151115627253 km,27.235918090998844 km,32.065948200951325 km
拓东社区卫生服务中心,3.486631191924813 km,2.153122607512729 km,4.06587383616252 km,4.09941196195807 km,5.534261566774737 km,5.3142474021280455 km,7.435542401987758 km,8.851800965503468 km,8.653858200270083 km,2.9279274865999287 km,1.9807653487850965 km,9.0048974206546 km,1.1761310524070157 km,1.9807653487850965 km,1.344256388099357 km,1.9061847049676226 km,4.3140604370617535 km,3.2272168175725198 km,8.162508125700208 km,12.04009236580656 km,14.316429642641872 km,20.323810329690048 km,31.917870056991077 km,33.91730181635033 km,2.7828293647977387 km,1.5298366349487773 km,0.6457294993698015 km,1.2952561991917508 km,7.677477049205118 km,9.07910191904422 km,12.09628805887561 km,9.956216215033942 km,29.146564545440185 km,7.242658440050502 km,10.553683685159314 km,6.925318314472731 km,8.848153508697614 km,4.299745065691249 km,3.0773262339627596 km,4.51449577814152 km,6.019885751686205 km,4.865393367846153 km,12.561730864883469 km,30.665432618543942 km,20.628391189229447 km,9.437371000715622 km,17.721086337679726 km,21.74602675492666 km,14.886680360092782 km,17.283564729524144 km,23.882128508581538 km,24.298959680168114 km,23.2055197914005 km,17.756618768230123 km,23.744354653083132 km,28.53795258743883 km
白云社区卫生服务中心,4.125743968601179 km,3.4210403434917085 km,4.849125464081247 km,4.673402971471511 km,5.57584898887423 km,4.292151896266236 km,4.987556379427096 km,8.61614516975415 km,7.47242863506922 km,3.6308039260468887 km,2.4938995843889025 km,8.468706691766695 km,3.2185276264736866 km,2.4938995843889025 km,1.4806897784240014 km,1.6737679014089855 km,2.019489834660665 km,0.8798707225141298 km,5.510683309416842 km,9.403118235522815 km,12.650021411185666 km,17.902548915698645 km,29.421862457180996 km,31.26454902266004 km,5.327548300985502 km,4.014044627057558 km,3.272221701961913 km,2.7789314259065745 km,9.863982252872754 km,11.535054960472625 km,14.612603229659541 km,12.554263571626072 km,27.509111249489763 km,8.761953851295889 km,11.971541899680266 km,7.496495373107711 km,9.450610289892406 km,5.606253300994763 km,5.22540683768228 km,6.997299159951586 km,7.863118640828565 km,5.710784208765658 km,14.274953660970217 km,33.21573650387533 km,20.64796859033398 km,11.537813671130094 km,20.000423163869367 km,23.869078278178716 km,17.22490725863583 km,19.62829922349013 km,26.104920171053678 km,26.583116939297422 km,24.02796119951872 km,19.83940746658337 km,26.207145973612175 km,31.020708565288203 km
联盟社区卫生服务中心,2.479066168386805 km,1.8115820171554242 km,3.200076131682752 km,3.051766569294548 km,4.130525201798931 km,3.383323318713515 km,5.579975975242728 km,7.339865691321481 km,6.72952838119754 km,1.966575689414685 km,0.8436716189971363 km,7.337539480841548 km,1.951921610348942 km,0.8436716189971363 km,0.8570070428801715 km,0.1256267491040499 km,2.490912546501426 km,2.544539923904183 km,6.670134089109928 km,10.404390061654508 km,14.310841023690555 km,19.436224120523644 km,30.88699870315181 km,32.373147097373106 km,4.768646186484086 km,2.8807143507423265 km,2.4423255955520333 km,2.9135243172025294 km,9.70912362901216 km,11.063160084064757 km,14.037016733798968 km,11.319199244769809 km,29.173147349252332 km,9.132454709159218 km,12.429291909903995 km,5.926331671655764 km,7.891222158245743 km,3.939992408060905 km,3.759348983243264 km,5.683412482702294 km,6.236957457728443 km,4.06682387037077 km,12.61254884478928 km,31.857458109556582 km,19.321950401323296 km,9.95034932163017 km,19.74274006253018 km,23.777830222772785 km,16.89912329561738 km,19.292628776029346 km,25.908977917001835 km,26.317470003488587 km,24.876451111160847 km,19.78742378706241 km,25.703826802812628 km,30.482814584784034 km
鼓楼社区卫生服务中心,3.3461000967689327 km,3.0646940294348792 km,4.048498468927334 km,3.804853774837566 km,4.468031480706943 km,3.014863662793346 km,4.2729948181642 km,7.38871544897964 km,6.194542369658456 km,2.9604271001898113 km,2.094589571478343 km,7.203509769917057 km,3.2928765286122106 km,2.094589571478343 km,1.8401963623843145 km,1.442656719675525 km,1.156092648521065 km,1.9981238139656081 km,5.343843995900855 km,9.059653856853174 km,13.565031755178433 km,18.247064434673828 km,29.637730843141128 km,31.029103473276574 km,5.965701572842884 km,4.213226698141236 km,3.691205572167128 km,3.7326721189555023 km,10.76713169228407 km,12.26062936554653 km,15.276005838400826 km,12.660932727183377 km,28.381841832442834 km,9.893590489065684 km,13.141663905561897 km,6.483068261283761 km,8.406795498271823 km,4.969682221489126 km,5.070236441428218 km,7.021978953618289 km,7.383512352631108 km,4.869838702039964 km,13.610817149557214 km,33.1705452331595 km,19.418284180838352 km,11.13772372231899 km,20.865654641797246 km,24.825743686407506 km,18.048452638140013 km,20.448401880610703 km,27.008150532314563 km,27.448050124813395 km,25.29817170690668 km,20.81264150061157 km,26.927224195746405 km,31.71960577302944 km
云南玛莉亚医院儿保科,2.0513254091838977 km,1.796041928228626 km,2.7690960676444365 km,2.564188756666213 km,3.501763894604166 km,2.7153714132742692 km,5.296890485228127 km,6.673020979309741 km,6.064099208460254 km,1.6307766616585944 km,0.8986615962407686 km,6.655133814756217 km,2.29215176981048 km,0.8986615962407686 km,1.5401839144445943 km,0.7925630375689349 km,2.3405396798022986 km,2.993911880934575 km,6.618349111742829 km,10.236088979371793 km,14.744959690625693 km,19.579886216825873 km,30.959931580463653 km,32.21485205077659 km,5.285585539748913 km,3.2318308837208294 km,2.950869377530908 km,3.5866991422903736 km,10.285941121467076 km,11.552728886874602 km,14.484160343716919 km,11.477877964406312 km,29.591454461136575 km,9.794936317139488 km,13.096076465387606 km,5.375318946374872 km,7.332418787407391 km,3.6439455241234504 km,3.83034838494959 km,5.837573845329051 km,6.05079687956156 km,3.616602698609185 km,12.302552201398726 km,31.901339051709297 km,18.67123066840228 km,9.80730155077981 km,20.273909251710727 km,24.34606764186851 km,17.41592105380304 km,19.8033044741375 km,26.450724275920223 km,26.840871132125258 km,25.561396493014247 km,20.36754711079623 km,26.15765163987745 km,30.92200715736886 km
盘龙区社区卫生服务中心,9.487219588188056 km,9.415945263747401 km,10.109237853569581 km,9.790850237395041 km,9.769546699698436 km,7.5451129302338655 km,3.458230060148475 km,11.437839348951973 km,8.66274624691951 km,9.218425400005138 km,8.445212360593702 km,10.748984398919147 km,9.53182998461803 km,8.445212360593702 km,7.836371246364509 km,7.733774151775808 km,5.330506147366908 km,5.888292877926619 km,1.1084263961377179 km,3.3938259894467993 km,9.965336426688129 km,12.166940312721716 km,23.346815940473665 km,24.889864331814064 km,11.605346518171963 km,10.385985716876922 km,9.666443754100529 km,8.874411363204748 km,15.56624155831826 km,17.567383355942006 km,20.702142202602335 km,18.92675846392269 km,23.857156437001198 km,13.6555320679925 km,16.380584368195553 km,11.864942966959124 km,13.509321255988276 km,11.158913793794044 km,11.414518823650463 km,13.320414070584107 km,13.64054338246437 km,10.807167382899884 km,19.553585926273033 km,39.51492789053437 km,22.513629802309914 km,17.412660022015753 km,25.58726574532711 km,29.094059420448758 km,22.962865318444333 km,25.344663459680195 km,31.50415458624821 km,32.10450423290909 km,26.568173109862343 km,25.0568155097425 km,32.10715725083841 km,36.9435909935529 km
